Model,Method,Mode,Train,Test,Closed_Rank1,Closed_EER,Closed_Mean_Genuine,Closed_Mean_Impostor,Open_Rank1,Open_KL_Gate_EER,Open_Uncertainty_EER,Open_EER,Open_Mean_Genuine,Open_Mean_Stranger,Open_AUROC,Open_DIR_1,Open_DIR_01,Open_OSCR
unet_ccnet,Baseline,mode3,tongji,iitd,71.7567 ± 4.3606,13.6100 ± 2.3406,47.0000 ± 0.8165,47.0000 ± 0.8165,71.2033 ± 3.3070,22.6533 ± 2.7596,51.2367 ± 4.3765,38.7200 ± 3.4102,47.0000 ± 0.8165,47.0000 ± 0.8165,64.2833 ± 7.0246,20.7933 ± 4.9583,17.7367 ± 2.7995,56.5800 ± 4.9293
unet_ccnet,Baseline,mode3,tongji,tongji,61.7333 ± 1.3597,10.4133 ± 0.8391,49.0000 ± 0.8165,49.0000 ± 0.8165,61.5333 ± 2.0287,17.7467 ± 1.3996,50.9833 ± 1.4924,41.5333 ± 1.5353,49.0000 ± 0.8165,49.0000 ± 0.8165,60.9200 ± 1.4681,7.6000 ± 4.5373,2.7333 ± 2.1061,47.3233 ± 2.3898
unet_ccnet,Proposed,mode0,iitd,iitd,97.7900 ± 2.0606,1.3867 ± 1.4156,54.6667 ± 0.4714,54.6667 ± 0.4714,97.7900 ± 2.0606,2.5567 ± 1.2540,55.6300 ± 1.0602,3.3633 ± 0.6540,54.6667 ± 0.4714,54.6667 ± 0.4714,99.1667 ± 0.5584,89.7433 ± 7.5954,88.9100 ± 6.8946,97.5733 ± 2.0093
unet_ccnet,Proposed,mode0,iitd,tongji,79.0000 ± 1.8184,10.6667 ± 0.2563,57.3333 ± 1.2472,57.3333 ± 1.2472,80.9333 ± 1.5434,7.3967 ± 0.8864,51.7667 ± 2.4482,32.1667 ± 1.4744,57.3333 ± 1.2472,57.3333 ± 1.2472,75.4433 ± 1.5639,28.6000 ± 3.4909,12.0000 ± 4.2364,67.4333 ± 0.7922
unet_ccnet,Proposed,mode0,tongji,iitd,91.7033 ± 3.7373,4.5533 ± 2.1346,7.6667 ± 0.4714,7.6667 ± 0.4714,93.9167 ± 3.0345,8.5367 ± 1.0816,48.2600 ± 3.2809,12.5733 ± 2.2463,7.6667 ± 0.4714,7.6667 ± 0.4714,93.2200 ± 2.7058,72.5900 ± 8.8478,64.0067 ± 7.2400,90.5367 ± 3.5647
unet_ccnet,Proposed,mode0,tongji,tongji,91.4667 ± 1.0873,3.1200 ± 0.2379,10.0000 ± 0.8165,10.0000 ± 0.8165,92.2000 ± 1.0708,4.1267 ± 0.7827,44.0667 ± 1.2072,12.0833 ± 2.0446,10.0000 ± 0.8165,10.0000 ± 0.8165,94.8000 ± 1.2207,72.0667 ± 1.4817,50.4667 ± 14.1961,89.9067 ± 1.6045
unet_ccnet,Proposed,mode3,iitd,iitd,99.4500 ± 0.7778,0.7300 ± 0.5220,20.0000 ± 27.5802,20.0000 ± 27.5802,99.4500 ± 0.7778,2.5567 ± 1.2540,55.6300 ± 1.0602,1.7033 ± 1.8532,20.0000 ± 27.5802,20.0000 ± 27.5802,99.5233 ± 0.4956,98.3400 ± 1.3513,97.7900 ± 2.0606,99.2767 ± 0.8393
unet_ccnet,Proposed,mode3,iitd,tongji,90.4667 ± 2.1312,9.6467 ± 0.8950,3.6667 ± 1.6997,3.6667 ± 1.6997,90.8000 ± 2.0461,7.3967 ± 0.8864,51.7667 ± 2.4482,26.8833 ± 2.5930,3.6667 ± 1.6997,3.6667 ± 1.6997,81.6433 ± 2.2639,36.0667 ± 7.1969,20.4000 ± 5.0938,77.6933 ± 2.2760
unet_ccnet,Proposed,mode3,tongji,iitd,98.0700 ± 1.5556,1.7767 ± 0.6389,12.6667 ± 0.4714,12.6667 ± 0.4714,98.0700 ± 1.5556,8.5367 ± 1.0816,48.2600 ± 3.2809,7.4433 ± 3.9858,12.6667 ± 0.4714,12.6667 ± 0.4714,96.6833 ± 1.6861,87.5567 ± 5.4923,82.8567 ± 8.3967,96.0533 ± 2.3543
unet_ccnet,Proposed,mode3,tongji,tongji,96.2667 ± 1.2037,2.1200 ± 0.7950,15.3333 ± 1.2472,15.3333 ± 1.2472,96.2667 ± 1.2037,4.1267 ± 0.7827,44.0667 ± 1.2072,6.6167 ± 0.6980,15.3333 ± 1.2472,15.3333 ± 1.2472,97.5900 ± 0.6874,86.9333 ± 3.8517,75.1333 ± 11.9123,95.6100 ± 0.9733
